project_code,project_display,project_scope_key,line_name,report_date,month,section_label,activity_raw,activity_norm,activity_group,core_activity,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks,source_file,source_sheet,configured_sheet,template_sheet,stringing_resolution_policy,project_key
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-08,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-08.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-11,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-11.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-11,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-11.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-11,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-11.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-11,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-11.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-11,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-11.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-12,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-12.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-12,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-12.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-12,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-12.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-12,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-12.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-12,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-12.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-15,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-15.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-15,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-15.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-15,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-15.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-15,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-15.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-15,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-15.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-17,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-17.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-17,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-17.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-17,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-17.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-17,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-17.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-17,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-17.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-20,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-20.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-20,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-20.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-20,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-20.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-20,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-20.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-20,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-20.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-23,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-23.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-23,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-23.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-23,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-23.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-23,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-23.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-23,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-23.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-25,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-25.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-25,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-25.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-25,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-25.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-25,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-25.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-25,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-25.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-28,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,,,21.36,167.318,,,TB 507 [MAIN] - DPR - 2026-06-28.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-28,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-28.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-28,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,,,,TB 507 [MAIN] - DPR - 2026-06-28.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-28,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,15.478,0.0,,,,0.0,15.478,,,TB 507 - DPR - 2026-06-28.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 765kV,tb507765kv,765kV,2026-06-28,2026-06-01,Progress Summary,Stringing (Kms),stringing,Stringing,True,,,,,,,0.0,,,TB 507 - DPR - 2026-06-28.xlsx,765kV Summery,765kV Summery,TB 507 765kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-29,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,21.36,21.084,2.92,2.92,24.28,164.398,,,TB 507 [MAIN] - DPR - 2026-06-29.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
TB 507,TB 507 - 400kV,tb507400kv,400kV,2026-06-29,2026-06-01,Progress Summary,Final Sag (Kms),stringing,Stringing,True,188.678,,,,,0.0,188.678,,,TB 507 [MAIN] - DPR - 2026-06-29.xlsx,400kV Summery,400kV Summery,TB 507 400kV Status,,TB507
