project_key,project_code,line_name,section_label,report_date,source_file,source_sheet,configured_sheet,template_sheet,header_row_number,source_row_number,activity_raw,activity_norm,quantity_loa,quantity_estimated_or_total,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks
TA421,TA 421,,Progress Status,2026-06-23,TA 421 - DPR - 2026-06-23.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,1.858,1.858,99.53,21.812,1.0,WIP - 36/0 - 37/0
TA421,TA 421,,Progress Status,2026-06-25,TA 421 - DPR - 2026-06-25.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,3.43669,,119.86969,1.472309999999993,,
TA421,TA 421,,Progress Status,2026-06-25,TA 421 - DPR - 2026-06-25.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,4.403,,119.87,1.471999999999994,2.0,40/0-41/0-42/0 - 1.475 Km -WIP
TA421,TA 421,,Progress Status,2026-06-25,TA 421 - DPR - 2026-06-25.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,1.858,,99.53,21.812,1.0,WIP - 36/0 - 37/0
TA421,TA 421,,Progress Status,2026-06-29,TA 421 - DPR - 2026-06-29.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,116.433,4.912,4.90869,1.475,121.34169,,,RS Completed
TA421,TA 421,,Progress Status,2026-06-29,TA 421 - DPR - 2026-06-29.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,115.467,5.878,4.40269,,119.86969,1.472310000000007,2.0,40/0-41/0-42/0 - 1.475 Km -WIP
TA421,TA 421,,Progress Status,2026-06-29,TA 421 - DPR - 2026-06-29.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,97.672,23.67,5.466,,103.138,18.20400000000001,1.0,WIP - 39/0 - 41/0
TA421,TA 421,,Progress Status,2026-06-30,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,24,Stringing -R/S,stringing,,121.342,121.342,31.816,23.239,11.927,,43.74299999999999,77.599,2.0,17/0-18/0 (  1.539 km ) - Pilot Paying out  u/p    ;  AP 13/0 to 14/0(4.900 km) -Insulator Hosting t under Progress
TA421,TA 421,,Progress Status,2026-06-30,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,25,Stringing -F/S,stringing,,121.342,121.342,31.816,23.239,11.927,,43.74299999999999,77.599,,
TA421,TA 421,,Progress Status,2026-06-30,TA 421 - DPR - 2026-06-30.xlsx,Master Sheet,Master Sheet,TA 421 Status,18,26,OPGW,opgw_stringing,,121.342,121.342,20.897,23.239,13.385,,34.282,87.06,,
